Name,Issues,Areas
Contour Cheeks,Heavy Lateral Cheek,Cheeks
Improve Cheek Definition,"Mid Cheek Flattening,Cheekbone - Not Prominent,Lower Cheeks - Volume Depletion",Cheeks
Rejuvenate Upper Eyelids,"Excess Upper Eyelid Skin,Upper Eyelid Droop,Upper Eye Hollow",Eyes
Rejuvenate Lower Eyelids,"Lower Eyelid - Excess Skin,Lower Eyelid Bags,Under Eye Hollow,Lower Eyelid Sag,Under Eye Dark Circles",Eyes
Balance Brows,"Brow Asymmetry,Brow Ptosis",Forehead
Balance Forehead,"Flat Forehead,Temporal Hollow",Forehead
Contour Jawline,"Excess/Submental Fullness,Jowls,Ill-Defined Jawline,Masseter Hypertrophy,Over-Projected Chin",Jawline
Contour Neck,"Loose Neck Skin,Platysmal Bands",Jawline
Balance Jawline,"Asymmetric Jawline,Asymmetric Chin,Prejowl Sulcus,Retruded Chin",Jawline
Hydrate Lips,Dry Lips,Lips
Balance Lips,"Asymmetric Lips,Gummy Smile,Thin Lips,Lip Thinning When Smiling,Lacking Philtral Column,Long Philtral Column",Lips
Balance Nose,"Dorsal Hump,Droopy Tip,Tip Droop When Smiling,Crooked Nose",Nose
Hydrate Skin,Dry Skin,Skin
Tighten Skin Laxity,Crepey Skin,Skin
Shadow Correction,"Nasolabial Folds,Marionette Lines",Skin
Exfoliate Skin,"Blackheads,Whiteheads",Skin
Smoothen Fine Lines,"Bunny Lines,Crow's Feet Wrinkles,Forehead Wrinkles ,Glabella Wrinkles,Under Eye Wrinkles,Perioral Wrinkles,Neck Lines",Skin
Even Skin Tone,"Dark Spots,Red Spots,Rosacea [DEPRECATED]",Skin
Fade Scars,Scars,Skin
